OBJID,RADEG,DECDEG,MAG0,PRI
3039680743451184256,120.166676396,-8.51891022012,13.136714184,1
3039680983969544448,120.124087524,-8.5105348716,13.7216348099,0
3039682564517316352,120.193663908,-8.46314764347,12.5020876238,0
3039683182992910976,120.209326524,-8.43422321277,13.9397160412,1
3039683595311067392,120.600633833,-8.6569564314,12.6888391164,1
3039684591743479168,120.561496554,-8.63252908286,13.3451872059,6
3039684900981123584,120.506685323,-8.60726918724,11.1282600501,6
3039685175859029888,120.583130851,-8.59172282308,12.4736035699,0
3039685244578506240,120.605296121,-8.58645405498,13.416578546,1
3039686034852933120,120.657759175,-8.56193347489,13.6054335132,6
3039686309730412672,120.709969342,-8.54369823142,11.6088614775,6
3039686309730412800,120.714608433,-8.55108740995,13.63009698,0
3039686618968057856,120.719785191,-8.52382869052,12.196313423,6
3039686653328285824,120.73205322,-8.51782393822,13.4724642783,0
3039687134369166592,120.60717327,-8.52390635478,12.7563354669,6
3039687649760728448,120.646893546,-8.49689873852,13.8082567926,1
3039688027717313792,120.531160206,-8.57326948992,13.8430998211,0
3039688096437223424,120.520741375,-8.56998110657,13.950624585,6
3039688130796529408,120.477117879,-8.5882688393,13.0111899621,6
3039688165156699392,120.48503411,-8.57106551949,13.6676127063,0
3039688611832865280,120.546484221,-8.53709029982,12.4630959631,0
3039688680552810624,120.526012155,-8.54459865011,13.5485008702,1
3039689436467098112,120.447432121,-8.51334200695,13.4528791702,6
3039689470826323456,120.453287724,-8.5088749584,12.9008495578,1
3039689573905539072,120.480544356,-8.51978530178,12.6819093142,6
3039689608265277056,120.500518038,-8.51459315947,12.3081545313,6
3039689883143183232,120.484656571,-8.48784134471,11.8844107281,1
3039690501619041280,120.597667214,-8.47844817431,13.8357632875,1
3039690673417165440,120.613137104,-8.47867542601,13.4989178577,0
3039690879575595520,120.614810997,-8.46858871437,12.2924597165,1
3039691257533293056,120.539016973,-8.4731390082,13.6174851232,6
3039692185246331520,120.571340788,-8.40237856485,13.792738928,1
3039692322685117312,120.747331229,-8.5176820322,13.4857995735,6
3039692975520234624,120.830946688,-8.45818884436,13.6757282574,1
3039693216038414720,120.810856609,-8.45011741889,13.4364045838,1
3039693971952068352,120.760089626,-8.44267133522,11.3832853887,0
3039694006312416256,120.764107374,-8.43624731243,13.9829449462,0
3039694040673338624,120.79072011,-8.43181263615,13.2426624056,6
3039694659146835328,120.865471585,-8.426535361,12.4878590605,1
3039694693506573568,120.877131175,-8.41344321402,13.3561452499,0
3039695002744218752,120.887842085,-8.41103068907,12.8771549758,1
3039695071464357504,120.876858212,-8.40118746976,13.8218698531,6
3039695105823433600,120.890605673,-8.38924897117,13.7127238976,1
3039695758658462464,120.807301746,-8.38672524449,12.3368710155,0
3039696686371399296,120.680430001,-8.43863253918,13.6161405501,0
3039696789451231488,120.688498668,-8.43039017721,13.8725501172,6
3039697270486950912,120.700358604,-8.40826121776,12.8937002573,6
3039697339207092224,120.737715548,-8.39960360484,13.050294345,0
3039698782315438080,120.655740666,-8.3303920387,10.7520029098,1
3039698782320770560,120.656438242,-8.33056943882,12.132566149,6
3039698885394653696,120.772705376,-8.35774585242,12.824103921,1
3039699057193345280,120.765880522,-8.34606991121,12.7688243964,6
3039699125912822144,120.736031191,-8.35304932111,13.0435710555,6
3039699228992036992,120.732340993,-8.33622640625,13.5641652967,1
3039699606949158656,120.81258993,-8.31341450477,13.4365045936,1
3039699881827065216,120.794010319,-8.29803000738,11.509069222,0
3039699984906280832,120.723383485,-8.32992125892,12.592817001,0
3039700809540000640,120.750108206,-8.26462371186,13.6113427157,0
3039700981338692352,120.757805139,-8.25433074535,11.2753283356,6
3039701084417892096,120.43062799,-8.5167125145,13.3618502931,1
3039701221856845056,120.44046834,-8.49378844158,11.5351082461,1
3039701634173704960,120.461936921,-8.48584027044,13.2598944889,6
3039701771613912064,120.487927479,-8.45594861737,12.2202691301,1
3039701771617850240,120.489558198,-8.45752172728,11.8979213015,1
3039702287008733568,120.394659572,-8.46690257785,13.5320877309,6
3039702596247001344,120.368594397,-8.44088890725,13.9493006202,6
3039703077283373440,120.390179706,-8.41628091967,13.8878205287,0
3039703214722359808,120.413111166,-8.39349552426,13.6983695218,0
3039703283441145856,120.508812173,-8.4411650895,13.7273512712,6
3039704348593035008,120.451789127,-8.41277797548,12.652216903,1
3039704417313188352,120.447272245,-8.40316192855,13.9963457051,1
3039705001428062720,120.492460616,-8.3600715058,13.6633394512,1
3039705997860476800,120.368083423,-8.42059686355,12.2779115376,6
3039706204018906368,120.382205819,-8.38586626764,12.8990391102,6
3039706238378644480,120.385549366,-8.378928942,13.9723795219,6
3039706272738383488,120.342576475,-8.40111087084,11.4378414093,1
3039706375818318080,120.338391065,-8.37325076482,13.6677081202,1
3039706513256550656,120.374378776,-8.35735173366,11.7345704657,1
3039706719414981760,120.306687026,-8.38429611081,8.41186623058,1
3039706753773121536,120.293653714,-8.38118461595,12.9251977522,0
3039707200449719424,120.314876446,-8.35730057317,10.8786829421,1
3039707234811056256,120.335559602,-8.35644161975,13.4249679366,6
3039707475327624576,120.302452717,-8.33260728914,10.1801375976,6
3039707922005824128,120.389150074,-8.36209619993,11.0548137797,0
3039707956366310912,120.405425676,-8.35088550136,13.2132660561,1
3039708162523991552,120.41037937,-8.31895909176,13.2027148956,0
3039708265603206912,120.449554831,-8.32523091319,12.4928789962,0
3039709090235326464,120.331999404,-8.31616852176,11.5644625179,6
3039709468194048384,120.442474567,-8.26549803562,12.353629832,1
3039709743071955072,120.425256293,-8.25098348769,13.7698742434,0
3039709880510910848,120.59409504,-8.35975345109,11.7941909304,6
3039709914870649600,120.569241827,-8.36912851892,12.4938151823,1
3039710498986200704,120.62208727,-8.31971206305,13.6464022941,0
3039710773864107264,120.605029958,-8.30734156325,13.6831473967,6
3039711186180967552,120.561659572,-8.30491723419,12.2520233037,1
3039711495418612608,120.57748908,-8.30173529238,12.9371200366,1
3039711564138089216,120.578146017,-8.29128255311,10.4206791597,6
3039711598497827328,120.584075845,-8.27465780355,12.7635642063,1
3039711873375734016,120.564287247,-8.26274342515,13.094376594,0
3039712354412092416,120.665503369,-8.26837804695,13.0793376215,1
3039712904167905792,120.70581021,-8.24116920511,11.3101844848,6
3039713385204242816,120.642052712,-8.22601628108,13.7470352604,1
3039714141118486272,120.687795796,-8.18236298456,9.48517394845,0
3039714244197682176,120.49687408,-8.30384192758,12.7775587378,0
3039715446788523904,120.449548478,-8.24087098601,13.7674491175,6
3039715790385907456,120.457049605,-8.21384072671,7.91558228759,6
3039717405294519168,120.63655646,-8.15047333702,12.8059063189,1
3039717817610470784,120.519813674,-8.17624985449,13.6766778194,6
3039718779681607680,119.904301415,-8.65049195024,13.6904569658,6
3039719226358160256,119.939677206,-8.62599090382,13.4512482954,0
3039719295077637120,119.921702683,-8.62614260958,13.028020349,6
3039719295077702656,119.924017783,-8.6246302398,13.8916723068,6
3039719879193188864,119.859451453,-8.6174067017,13.048000354,6
3039719879193189120,119.867885411,-8.62127498399,13.1821282953,6
3039720222790572160,119.821756484,-8.59411646623,12.334068759,0
3039720497668586624,119.889332415,-8.57947166017,13.7917081987,6
3039720600747693824,119.87426896,-8.57384070154,7.71579841067,6
3039720806906122880,119.884385912,-8.55079152791,13.4078609686,6
3039720909985339392,119.959662297,-8.58774688368,12.1920162571,0
3039721116143880064,119.949877577,-8.57744459131,13.9537469908,6
3039721528460628480,120.034073431,-8.54805160286,12.7171344041,0
3039721837698272640,120.026141061,-8.52387603106,11.2130604824,6
3039722043856703744,119.925388171,-8.54213054379,12.5684816663,6
3039722078216588416,119.954641576,-8.5428758664,13.3761178736,6
3039722284374872064,119.889040916,-8.53632469681,12.5744476891,1
3039722387454086144,119.948191039,-8.51781669745,12.8202512175,0
3039723280807285888,119.81799639,-8.55743931476,13.1196907606,1
3039723349526763392,119.775955095,-8.57405208524,12.8270150848,1
3039723418246362240,119.770213406,-8.56341174256,12.9583142489,1
3039724071081435264,119.828473338,-8.52614198532,13.9798727475,0
3039724105441004416,119.835047311,-8.5073843164,13.1321855224,1
