OBJID,RADEG,DECDEG,MAG0,PRI
201434045,163.406122,-0.449501,12.9229994,1.0
201436931,163.126014,-0.406972,13.507,1.0
201437341,163.176068,-0.400715,10.1099997,1.0
201437560,163.694737,-0.39753,12.7679996,1.0
201437903,163.664376,-0.392468,13.1599998,1.0
201439215,163.000287,-0.372868,10.25,1.0
201439444,162.926136,-0.369014,12.3540001,1.0
201443037,162.889242,-0.317934,11.4369993,1.0
201444773,163.594546,-0.292935,11.1939993,1.0
201445728,163.276111,-0.279801,12.4579992,1.0
201447508,162.568439,-0.25439,10.1269999,1.0
201447662,163.708977,-0.252464,13.7290001,1.0
201450009,162.682538,-0.218458,11.9919996,1.0
201451811,163.373749,-0.192797,12.9629993,1.0
201452069,163.406252,-0.189507,11.4769993,1.0
201452080,163.592878,-0.189389,13.1499996,1.0
201452160,162.975214,-0.188332,13.5450001,1.0
201453259,163.730857,-0.172234,12.9029999,1.0
201453778,163.71053,-0.164832,13.1619997,1.0
201454088,163.011268,-0.160575,10.3119993,1.0
201454630,163.380375,-0.153271,12.7999992,1.0
201454870,163.255392,-0.150003,12.7749996,1.0
201456401,162.610655,-0.127523,13.9219999,1.0
201457105,163.736993,-0.116984,11.3119993,1.0
201457234,163.512331,-0.115035,12.6759996,1.0
201458021,163.657347,-0.103842,13.217,1.0
201459576,162.981392,-0.080644,13.6359997,1.0
201460410,163.530205,-0.069053,13.2799997,1.0
201460488,162.885028,-0.067928,12.0629997,1.0
201461473,162.914257,-0.053856,12.7879992,1.0
201462905,162.68841,-0.03255,13.8119993,1.0
201463178,162.792953,-0.028631,13.2249994,1.0
201463812,163.363991,-0.019748,13.9299994,1.0
201466068,162.962629,0.013995,12.1939993,1.0
201467145,163.035159,0.030017,13.3459997,1.0
201468457,163.567312,0.049899,12.632,1.0
201468587,163.460346,0.051982,11.8439999,1.0
201469971,162.623653,0.072511,12.1239996,1.0
201470154,163.747099,0.075094,12.8099995,1.0
201470184,162.970681,0.075729,12.8129997,1.0
201470818,162.874287,0.084636,12.217,1.0
201472758,162.818831,0.113056,12.552,1.0
201472947,163.527898,0.115741,12.6209993,1.0
201473682,162.815628,0.126341,12.9769993,1.0
201475122,163.437482,0.146931,13.6389999,1.0
201475287,162.647861,0.149432,12.2229996,1.0
201475710,163.217983,0.156199,9.9819994,1.0
201475825,163.149171,0.157946,13.5389996,1.0
201479048,163.678877,0.206137,11.5959997,1.0
201479880,163.363322,0.218165,13.0349998,1.0
201481016,162.893735,0.23586,13.4129992,1.0
201481531,162.981364,0.243876,10.5369997,1.0
201481980,163.731472,0.250204,13.335,1.0
201481981,163.724053,0.250229,13.9049997,1.0
201482014,163.369003,0.250713,13.8119993,1.0
201482308,163.554138,0.255406,13.4759998,1.0
201484105,162.577265,0.281761,11.5199995,1.0
201484892,163.591652,0.293767,11.1859999,1.0
