id     ra          dec        name
2M08501230+1151246 132.5512695  11.8568001  Apogee
2M19410822+4019319 295.2842790  40.3255420  Apogee
HIP6027    19.359      57.632       ChenLi
HIP28117   89.14070    28.94226     JiangDengKai
HIP96459  294.15823    44.69494     XieJiWei
HIP30726   96.82913    21.29358     K2
HIP56073  172.39918     3.77993     K2
HIP18762   60.27909    20.19916     K2
HIP44056  134.57621    18.30828     K2
HIP67271  206.80585    -9.70945     K2
HIP4582    14.67684     4.20579     K2
HIP22935   74.02765    22.57655     K2
HIP51802  158.75899     8.65043     K2
HIP44000  134.39545    16.23365     K2
HIP14433   46.5712641  11.6652482   T_Taurus 
HIP14554   46.9675823  23.6877413   T_Taurus 
HIP14672   47.3943818  19.3808861   T_Taurus 
HIP14719   47.5376957  27.8195047   T_Taurus 
HIP15064   48.5351398  15.5902884   T_Taurus 
HIP15850   51.0420537  12.6293787   T_Taurus 
HIP15861   51.0763361  24.7239640   T_Taurus 
HIP15870   51.1084995  20.8034774   T_Taurus 
HIP16268   52.4274967  16.7622992   T_Taurus 
HIP16378   52.7534931  27.7248234   T_Taurus 
HIP17235   55.3678125  12.6075696   T_Taurus 
HIP17325   55.6252659  20.1497866   T_Taurus 
HIP17401   55.9227108  23.6484782   T_Taurus 
HIP17482   56.1878805  27.9206477   T_Taurus 
HIP17610   56.5864472  16.3742168   T_Taurus 
HIP18405   59.0275444  20.7718423   T_Taurus 
HIP18620   59.7641367  23.6278681   T_Taurus 
HIP18634   59.8320068  13.9748400   T_Taurus 
HIP18717   60.1535520  17.2965627   T_Taurus 
HIP18972   60.9760113  28.1256157   T_Taurus 
HIP19669   63.2041957  19.5389198   T_Taurus 
HIP19736   63.4577192  12.7536113   T_Taurus 
HIP19785   63.6097136  23.6963801   T_Taurus 
HIP19799   63.6512125  10.0107699   T_Taurus 
HIP19960   64.2024663  16.2140244   T_Taurus 
HIP20512   65.9336074  28.1863321   T_Taurus 
HIP20897   67.1757719  20.6768394   T_Taurus 
HIP21246   68.3703284  24.2792476   T_Taurus 
HIP21267   68.4447015  13.2518266   T_Taurus 
HIP21308   68.6263235  10.0162158   T_Taurus 
HIP21365   68.7596932  17.2010392   T_Taurus 
HIP21988   70.8977530  27.6866240   T_Taurus 
HIP22352   72.1827718  21.3159006   T_Taurus 
HIP22455   72.4786161  13.6888822   T_Taurus 
HIP22496   72.5999865  17.2029284   T_Taurus 
HIP22729   73.3416832  24.1773844   T_Taurus 
HIP22845   73.7236713  10.1504979   T_Taurus 
HIP23143   74.6929204  29.8433662   T_Taurus 
HIP23632   76.2083650  18.2538153   T_Taurus 
HIP23712   76.4728111  26.4303000   T_Taurus 
HIP23789   76.6795192  14.0844057   T_Taurus 
HIP23883   76.9806450  21.7047801   T_Taurus 
HIP24273   78.1446438  10.4081990   T_Taurus 
HIP24642   79.3143321  28.9049847   T_Taurus 
HIP24905   80.0755137  25.1711343   T_Taurus 
HIP25111   80.6436499  16.8038993   T_Taurus 
HIP25337   81.2932853  20.5837671   T_Taurus 
HIP25470   81.7007522  13.5826072   T_Taurus 
HIP25826   82.7154805  10.2543688   T_Taurus 
HIP26062   83.3779891  24.6284913   T_Taurus 
HIP26382   84.2662114  17.0400179   T_Taurus 
HIP26606   84.8265601  29.2149234   T_Taurus 
HIP26770   85.2984048  20.0624409   T_Taurus 
HIP27116   86.2553944  12.8883664   T_Taurus 
HIP27805   88.2605892  16.3456074   T_Taurus 
HIP27851   88.3896370  24.2867038   T_Taurus 
HIP27965   88.7364655  19.7496679   T_Taurus 
HIP28117   89.1410107  28.9424759   T_Taurus 
HIP28302   89.7215785  12.8080859   T_Taurus 
